Roll.no,Name,Branch,Year,Gender,Date-of-birth,Phone-No,EntranceType,Father Name,Parent Phone Number
164G1A0501,ALEKHYA,CSE,4,Female,10/22/1999,,EMCET,BHARGAV,
164G1A0502,AKHIL,CSE,4,Male,11-03-1998,,MANAGEMENT,JAGAN,
164G1A0503,BHANU,CSE,4,Female,10-04-1998,,EMCET,MURALI,
164G1A0504,BHARGAV,CSE,4,Male,08/14/1999,,EMCET,KRISHNA,
164G1A0505,DEEVI,CSE,4,Female,07/20/1999,,EMCET,RAMU,
164G1A0506,DIVYA,CSE,4,Female,06-09-1999,,EMCET,RAVI,
164G1A0507,EISHRATH,CSE,4,Female,08-07-1998,,MANAGEMENT,HARSHA,
164G1A0508,FOUZIYA,CSE,4,Female,05-11-1998,,EMCET,PEDIREDDY,
164G1A0509,FARHANA,CSE,4,Female,08/15/1999,,MANAGEMENT,PULLAYA,
164G1A0510,GEETA,CSE,4,Female,09/24/1998,,EMCET,AKHIL,
164G1A0511,GOUTAM,CSE,4,Male,10/22/1999,,MANAGEMENT,VENU,
164G1A0512,GANGARAJU,CSE,4,Male,02/16/1998,,EMCET,UDAY KUMAR,
164G1A0513,HITLER,CSE,4,Male,03/14/1999,,MANAGEMENT,SANDEEP,
164G1A0514,HARIKA,CSE,4,Female,07/17/1998,,MANAGEMENT,SANTOSH,
164G1A0515,HARSHA,CSE,4,Male,09-06-1998,,EMCET,PRAKASH,
164G1A0516,HARINI,CSE,4,Female,10/18/1999,,EMCET,PRAVEEN,
164G1A0517,INDU,CSE,4,Female,11/26/1998,,EMCET,HEMANTH,
164G1A0518,ISHAN,CSE,4,Male,12/18/1998,,EMCET,BALU,
164G1A0519,INDRA,CSE,4,Male,02/24/1999,,EMCET,DHEERAJ,
164G1A0520,JEEVAN,CSE,4,Male,09-06-1999,,EMCET,DAMU,
